Signature,Time,Action,From,To,Amount,Decimals,TokenAddress
4GiiMgaN1ccEtZE4R8XnnvVCoL4ZFfNBY28oKCuWBdZm29nvjpMbo9ekiwKZZrhLwXeWVeFBu1zsUNJRGjVcAYew,1718419192,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EWEnCjfSGeWg5C58DBuXM4uECoVaAPCpaFibK1V3B6ei,2190213,9,SOL
4GiiMgaN1ccEtZE4R8XnnvVCoL4ZFfNBY28oKCuWBdZm29nvjpMbo9ekiwKZZrhLwXeWVeFBu1zsUNJRGjVcAYew,1718419192,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,maADbn7DP7N5UhnP93KngcNjH8uyB7qwiFHEa3Ko9WX,4380427,9,SOL
4GiiMgaN1ccEtZE4R8XnnvVCoL4ZFfNBY28oKCuWBdZm29nvjpMbo9ekiwKZZrhLwXeWVeFBu1zsUNJRGjVcAYew,1718419192,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EKEy7ZSrLa2Nxb3RwnZF9NcidbEfbqu3DPwxwtrmnSRk,175217,9,SOL
4GiiMgaN1ccEtZE4R8XnnvVCoL4ZFfNBY28oKCuWBdZm29nvjpMbo9ekiwKZZrhLwXeWVeFBu1zsUNJRGjVcAYew,1718419192,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,CfYXwxCk7Be8u1aHz9yvtX3TjBq3C4R18WVZqazRuYqj,262825,9,SOL
4GiiMgaN1ccEtZE4R8XnnvVCoL4ZFfNBY28oKCuWBdZm29nvjpMbo9ekiwKZZrhLwXeWVeFBu1zsUNJRGjVcAYew,1718419192,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,32hYcE6771ouLz2SQFYpbtYoesnM5JJg1aiFp5fcN4CF,876085,9,SOL
4GiiMgaN1ccEtZE4R8XnnvVCoL4ZFfNBY28oKCuWBdZm29nvjpMbo9ekiwKZZrhLwXeWVeFBu1zsUNJRGjVcAYew,1718419192,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,32hYcE6771ouLz2SQFYpbtYoesnM5JJg1aiFp5fcN4CF,876085,9,SOL
2motco4e1ukg2GmMWvn9uAqNMpoPsLm5KpoKjHwZdanFQFtNe53nwx59TWLWgZGM1MjLM886QzVz5ra5qHpEcHh9,1718419184,TRANSFER,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,1096125341,9,So11111111111111111111111111111111111111112
2motco4e1ukg2GmMWvn9uAqNMpoPsLm5KpoKjHwZdanFQFtNe53nwx59TWLWgZGM1MjLM886QzVz5ra5qHpEcHh9,1718419184,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,54920908642893,9,APhJVfPSFexLqxyBra67zDuxyuEFTWSV3HckqnoNCspf
2motco4e1ukg2GmMWvn9uAqNMpoPsLm5KpoKjHwZdanFQFtNe53nwx59TWLWgZGM1MjLM886QzVz5ra5qHpEcHh9,1718419184,CREATE ACCOUNT,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,FN1RhLFSC6bwfZPxMxRoTdmTzKuECG2Pt4G3MDmTNdCq,2039280,9,SOL
5yYX7XRCtdHV7e2jFMGUmLsPLGgDue9dHgh2veS1T8kfSn6uwQmAj452yPCnW4ZueLbVyzcL31hesDrL4cyxG3Cz,1718405623,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EWEnCjfSGeWg5C58DBuXM4uECoVaAPCpaFibK1V3B6ei,625000,9,SOL
