Signature,Time,Action,From,To,Amount,Decimals,TokenAddress
22a87DHkHtxiKQWjDT3JtKwKo7KzhnGgDHAqfAUDg2fSywR91MCoHVmHvHAXG2ydQAtCdxZ65GQfh9JfZtm1dvjs,1718498099,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EWEnCjfSGeWg5C58DBuXM4uECoVaAPCpaFibK1V3B6ei,59614,9,SOL
22a87DHkHtxiKQWjDT3JtKwKo7KzhnGgDHAqfAUDg2fSywR91MCoHVmHvHAXG2ydQAtCdxZ65GQfh9JfZtm1dvjs,1718498099,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,maADbn7DP7N5UhnP93KngcNjH8uyB7qwiFHEa3Ko9WX,119228,9,SOL
22a87DHkHtxiKQWjDT3JtKwKo7KzhnGgDHAqfAUDg2fSywR91MCoHVmHvHAXG2ydQAtCdxZ65GQfh9JfZtm1dvjs,1718498099,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EKEy7ZSrLa2Nxb3RwnZF9NcidbEfbqu3DPwxwtrmnSRk,4769,9,SOL
22a87DHkHtxiKQWjDT3JtKwKo7KzhnGgDHAqfAUDg2fSywR91MCoHVmHvHAXG2ydQAtCdxZ65GQfh9JfZtm1dvjs,1718498099,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,CfYXwxCk7Be8u1aHz9yvtX3TjBq3C4R18WVZqazRuYqj,7153,9,SOL
22a87DHkHtxiKQWjDT3JtKwKo7KzhnGgDHAqfAUDg2fSywR91MCoHVmHvHAXG2ydQAtCdxZ65GQfh9JfZtm1dvjs,1718498099,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,32hYcE6771ouLz2SQFYpbtYoesnM5JJg1aiFp5fcN4CF,23845,9,SOL
22a87DHkHtxiKQWjDT3JtKwKo7KzhnGgDHAqfAUDg2fSywR91MCoHVmHvHAXG2ydQAtCdxZ65GQfh9JfZtm1dvjs,1718498099,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,32hYcE6771ouLz2SQFYpbtYoesnM5JJg1aiFp5fcN4CF,23845,9,SOL
2oEGGR4FZiJAptz38A1ep86VR8j4MfGbmrSdZ4Nd8vGA3sKWyx7dqVqX46carnUxW12PN3d7nykZTxhKZnrwgcN1,1718498091,TRANSFER,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,30825592,9,So11111111111111111111111111111111111111112
2oEGGR4FZiJAptz38A1ep86VR8j4MfGbmrSdZ4Nd8vGA3sKWyx7dqVqX46carnUxW12PN3d7nykZTxhKZnrwgcN1,1718498091,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,443301169719,6,CKjQvRxPhTpybP4F4JWA7ru33JfvzJhuPBjqgwchpump
2oEGGR4FZiJAptz38A1ep86VR8j4MfGbmrSdZ4Nd8vGA3sKWyx7dqVqX46carnUxW12PN3d7nykZTxhKZnrwgcN1,1718498091,CREATE ACCOUNT,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,FN1RhLFSC6bwfZPxMxRoTdmTzKuECG2Pt4G3MDmTNdCq,2039280,9,SOL
4Hwzmp9BDhctudGh4qNULysbB263s8swrdg4Tak2wbwFQpi7spdGBS2RDrE1W79MUjLa9dUF7ay6rJTYGP8XUvK1,1718492602,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EWEnCjfSGeWg5C58DBuXM4uECoVaAPCpaFibK1V3B6ei,220561,9,SOL
